No.	Sum	Result	
1	6	A4 C4 C5 D1 D5 D6 
2	6	B1 C4 C5 D1 D5 D6 
3	6	C4 C5 D1 D4 D5 D6 
4	6	B1 C1 C5 D1 D5 D6 
5	6	B4 C4 C5 D1 D4 D6 
6	6	B2 B4 C4 D1 D4 D6 
7	6	A2 B2 B4 C4 D4 D6 
8	6	A1 C1 D1 D3 D5 D6 
9	6	A2 B1 B2 C4 D1 D6 
10	7	A1 A2 B1 B2 B4 C4 D6 
11	7	A2 A3 B1 B2 B4 C4 D6 
12	7	A2 A4 B1 B2 B4 C4 D6 
13	7	A2 A5 B1 B2 B4 C4 D6 
14	7	A2 B1 B2 B4 C3 C4 D6 
15	7	A2 B1 B2 B4 C4 C5 D6 
16	7	A2 B1 B2 B4 C4 C6 D6 
17	7	A2 B1 B2 B4 C4 D2 D6 
18	7	A2 B1 B2 B4 C4 D3 D6 
19	7	A2 B1 B2 B4 C4 D5 D6 
20	7	A2 A3 A6 B2 B4 D4 D6 
21	7	A2 A4 A6 B2 B4 D4 D6 
22	7	A2 A5 A6 B2 B4 D4 D6 
23	7	A2 A6 B1 B2 B4 D4 D6 
24	7	A2 A6 B2 B4 B5 D4 D6 
25	7	A2 A6 B2 B4 C3 D4 D6 
26	7	A2 A6 B2 B4 C5 D4 D6 
27	7	A2 A6 B2 B4 C6 D4 D6 
28	7	A2 A6 B2 B4 D3 D4 D6 
29	7	A2 A6 B2 B4 D4 D5 D6 
30	7	A2 A3 C1 C5 D1 D4 D6 
31	7	A2 A4 C1 C5 D1 D4 D6 
32	7	A2 A5 C1 C5 D1 D4 D6 
33	7	A2 B1 C1 C5 D1 D4 D6 
34	7	A2 B2 C1 C5 D1 D4 D6 
35	7	A2 B5 C1 C5 D1 D4 D6 
36	7	A2 C1 C3 C5 D1 D4 D6 
37	7	A2 C1 C4 C5 D1 D4 D6 
38	7	A2 C1 C5 C6 D1 D4 D6 
39	7	A2 C1 C5 D1 D3 D4 D6 
40	7	A2 C1 C5 D1 D4 D5 D6 
41	7	A1 A3 A6 B4 D1 D4 D6 
42	7	A1 A4 A6 B4 D1 D4 D6 
43	7	A1 A5 A6 B4 D1 D4 D6 
44	7	A1 A6 B4 B5 D1 D4 D6 
45	7	A1 A6 B4 C4 D1 D4 D6 
46	7	A1 A6 B4 C6 D1 D4 D6 
47	7	A1 A6 B4 D1 D3 D4 D6 
48	7	A1 A6 B4 D1 D4 D5 D6 
49	7	A3 A6 B4 C5 D1 D4 D6 
50	7	A4 A6 B4 C5 D1 D4 D6 
51	7	A5 A6 B4 C5 D1 D4 D6 
52	7	A6 B1 B4 C5 D1 D4 D6 
53	7	A6 B4 C3 C5 D1 D4 D6 
54	7	A6 B4 C5 D1 D3 D4 D6 
55	7	A6 B4 C5 D1 D4 D5 D6 
56	7	A3 A6 B2 B4 D1 D4 D6 
57	7	A4 A6 B2 B4 D1 D4 D6 
58	7	A5 A6 B2 B4 D1 D4 D6 
59	7	A6 B1 B2 B4 D1 D4 D6 
60	7	A6 B2 B4 C3 D1 D4 D6 
61	7	A6 B2 B4 D1 D3 D4 D6 
62	7	A6 B2 B4 D1 D4 D5 D6 
63	7	A2 A4 B2 B4 C1 D4 D6 
64	7	A2 A5 B2 B4 C1 D4 D6 
65	7	A2 B2 B4 C1 C5 D4 D6 
66	7	A2 B2 B4 C1 C6 D4 D6 
67	7	A2 B2 B4 C1 D4 D5 D6 
68	7	A1 A2 B1 B6 C4 C5 D6 
69	7	A2 A3 B1 B6 C4 C5 D6 
70	7	A2 A4 B1 B6 C4 C5 D6 
71	7	A2 A5 B1 B6 C4 C5 D6 
72	7	A2 B1 B2 B6 C4 C5 D6 
73	7	A2 B1 B6 C1 C4 C5 D6 
74	7	A2 B1 B6 C3 C4 C5 D6 
75	7	A2 B1 B6 C4 C5 D2 D6 
76	7	A2 B1 B6 C4 C5 D3 D6 
77	7	A2 B1 B6 C4 C5 D4 D6 
78	7	A2 B1 B6 C4 C5 D5 D6 
79	7	A3 B4 C4 C5 D1 D5 D6 
80	7	A5 B4 C4 C5 D1 D5 D6 
81	7	B4 C1 C4 C5 D1 D5 D6 
82	7	B4 C3 C4 C5 D1 D5 D6 
83	7	B4 C4 C5 C6 D1 D5 D6 
84	7	B4 C4 C5 D1 D3 D5 D6 
85	7	A3 B6 C4 C5 D1 D5 D6 
86	7	A5 B6 C4 C5 D1 D5 D6 
87	7	B6 C1 C4 C5 D1 D5 D6 
88	7	B6 C3 C4 C5 D1 D5 D6 
89	7	B6 C4 C5 C6 D1 D5 D6 
90	7	B6 C4 C5 D1 D3 D5 D6 
91	7	A2 B1 B4 C4 C5 D1 D5 
92	7	A2 B4 C1 C4 C5 D1 D5 
93	7	A2 B4 C4 C5 C6 D1 D5 
94	7	A2 B4 C4 C5 D1 D3 D5 
95	7	A2 B4 C1 C5 D1 D5 D6 
96	7	A4 B4 C1 C5 D1 D5 D6 
97	7	A6 B4 C1 C5 D1 D5 D6 
98	7	B2 B4 C1 C5 D1 D5 D6 
99	7	B3 B4 C1 C5 D1 D5 D6 
100	7	B4 B6 C1 C5 D1 D5 D6 
101	7	B4 C1 C5 C6 D1 D5 D6 
102	7	B4 C1 C5 D1 D3 D5 D6 
103	7	A4 C1 C5 D1 D4 D5 D6 
104	7	B2 C1 C5 D1 D4 D5 D6 
105	7	B6 C1 C5 D1 D4 D5 D6 
106	7	C1 C5 C6 D1 D4 D5 D6 
107	7	C1 C5 D1 D3 D4 D5 D6 
108	7	A1 A5 B4 C4 D1 D5 D6 
109	7	A4 A5 B4 C4 D1 D5 D6 
110	7	A5 B2 B4 C4 D1 D5 D6 
111	7	A5 B3 B4 C4 D1 D5 D6 
112	7	A5 B4 C1 C4 D1 D5 D6 
113	7	A5 B4 C3 C4 D1 D5 D6 
114	7	A5 B4 C4 C6 D1 D5 D6 
115	7	A5 B4 C4 D1 D2 D5 D6 
116	7	A5 B4 C4 D1 D3 D5 D6 
117	7	A1 B1 B4 C4 D1 D5 D6 
118	7	A4 B1 B4 C4 D1 D5 D6 
119	7	B1 B2 B4 C4 D1 D5 D6 
120	7	B1 B3 B4 C4 D1 D5 D6 
121	7	B1 B4 C1 C4 D1 D5 D6 
122	7	B1 B4 C3 C4 D1 D5 D6 
123	7	B1 B4 C4 C6 D1 D5 D6 
124	7	B1 B4 C4 D1 D2 D5 D6 
125	7	B1 B4 C4 D1 D3 D5 D6 
126	7	A1 B4 C4 D1 D4 D5 D6 
127	7	A4 B4 C4 D1 D4 D5 D6 
128	7	B3 B4 C4 D1 D4 D5 D6 
129	7	B4 C1 C4 D1 D4 D5 D6 
130	7	B4 C3 C4 D1 D4 D5 D6 
131	7	B4 C4 C6 D1 D4 D5 D6 
132	7	B4 C4 D1 D2 D4 D5 D6 
133	7	B4 C4 D1 D3 D4 D5 D6 
134	7	A2 A4 A5 B4 C4 D1 D6 
135	7	A2 A5 B2 B4 C4 D1 D6 
136	7	A2 A5 B4 C4 C5 D1 D6 
137	7	A2 A5 B4 C4 C6 D1 D6 
138	7	A2 A5 B4 C4 D1 D3 D6 
139	7	A1 A5 B4 B5 C4 D1 D6 
140	7	A4 A5 B4 B5 C4 D1 D6 
141	7	A5 B2 B4 B5 C4 D1 D6 
142	7	A5 B3 B4 B5 C4 D1 D6 
143	7	A5 B4 B5 C1 C4 D1 D6 
144	7	A5 B4 B5 C3 C4 D1 D6 
145	7	A5 B4 B5 C4 C5 D1 D6 
146	7	A5 B4 B5 C4 C6 D1 D6 
147	7	A5 B4 B5 C4 D1 D2 D6 
148	7	A5 B4 B5 C4 D1 D3 D6 
149	7	A1 A5 B4 C4 D1 D4 D6 
150	7	A4 A5 B4 C4 D1 D4 D6 
151	7	A5 B3 B4 C4 D1 D4 D6 
152	7	A5 B4 C1 C4 D1 D4 D6 
153	7	A5 B4 C3 C4 D1 D4 D6 
154	7	A5 B4 C4 C6 D1 D4 D6 
155	7	A5 B4 C4 D1 D2 D4 D6 
156	7	A5 B4 C4 D1 D3 D4 D6 
157	7	A1 A2 B1 B4 C4 D1 D6 
158	7	A2 A4 B1 B4 C4 D1 D6 
159	7	A2 B1 B4 C1 C4 D1 D6 
160	7	A2 B1 B4 C3 C4 D1 D6 
161	7	A2 B1 B4 C4 D1 D2 D6 
162	7	A2 B1 B4 C4 D1 D3 D6 
163	7	A2 B4 C3 C4 D1 D5 D6 
164	7	A2 B4 C4 C6 D1 D5 D6 
165	7	A2 B4 C4 D1 D3 D5 D6 
166	7	A1 B3 B4 C4 D1 D5 D6 
167	7	A3 B3 B4 C4 D1 D5 D6 
168	7	B3 B4 C3 C4 D1 D5 D6 
169	7	B3 B4 C4 C6 D1 D5 D6 
170	7	B3 B4 C4 D1 D2 D5 D6 
171	7	B3 B4 C4 D1 D3 D5 D6 
172	7	B4 B5 C3 C4 D1 D5 D6 
173	7	B4 B5 C4 D1 D3 D5 D6 
174	7	A1 B4 C1 C4 D1 D5 D6 
175	7	A3 B4 C1 C4 D1 D5 D6 
176	7	B4 C1 C3 C4 D1 D5 D6 
177	7	B4 C1 C4 C6 D1 D5 D6 
178	7	B4 C1 C4 D1 D2 D5 D6 
179	7	B4 C1 C4 D1 D3 D5 D6 
180	7	A3 B2 B4 B5 C4 D1 D6 
181	7	B1 B2 B4 B5 C4 D1 D6 
182	7	B2 B4 B5 C3 C4 D1 D6 
183	7	B2 B4 B5 C4 D1 D3 D6 
184	7	A1 A2 B2 B4 B5 C1 D6 
185	7	A2 A5 B2 B4 B5 C1 D6 
186	7	A2 B2 B4 B5 C1 C3 D6 
187	7	A2 B2 B4 B5 C1 C6 D6 
188	7	A2 B2 B4 B5 C1 D2 D6 
189	7	A2 A3 B2 B4 B5 C4 D6 
190	7	A2 A5 B2 B4 B5 C4 D6 
191	7	A2 B2 B4 B5 C3 C4 D6 
192	7	A2 B2 B4 B5 C4 D3 D6 
193	7	A1 A2 B1 B2 B4 D4 D6 
194	7	A2 A4 B1 B2 B4 D4 D6 
195	7	A2 B1 B2 B4 B6 D4 D6 
196	7	A2 B1 B2 B4 C3 D4 D6 
197	7	A2 B1 B2 B4 C5 D4 D6 
198	7	A2 B1 B2 B4 D2 D4 D6 
199	7	A2 B1 B2 B4 D4 D5 D6 
200	7	A1 A2 B1 B2 B5 C4 D6 
201	7	A2 A5 B1 B2 B5 C4 D6 
202	7	A2 B1 B2 B5 C3 C4 D6 
203	7	A2 B1 B2 B5 C4 C5 D6 
204	7	A2 B1 B2 B5 C4 D2 D6 
205	7	A2 B1 B2 B5 C4 D3 D6 
206	7	A1 A2 B4 C4 D1 D4 D6 
207	7	A2 A4 B4 C4 D1 D4 D6 
208	7	A2 B4 C1 C4 D1 D4 D6 
209	7	A2 B4 C4 C6 D1 D4 D6 
210	7	A2 B4 C4 D1 D2 D4 D6 
211	7	A4 A6 B4 C4 D1 D4 D6 
212	7	A6 B4 C1 C4 D1 D4 D6 
213	7	A6 B4 C4 C6 D1 D4 D6 
214	7	A6 B4 C4 D1 D2 D4 D6 
215	7	A1 B4 B6 C4 D1 D4 D6 
216	7	A4 B4 B6 C4 D1 D4 D6 
217	7	B4 B6 C1 C4 D1 D4 D6 
218	7	B4 B6 C4 C6 D1 D4 D6 
219	7	B4 B6 C4 D1 D2 D4 D6 
220	7	A2 B4 C4 C5 D1 D3 D6 
221	7	A4 B4 C4 C5 D1 D3 D6 
222	7	A5 B4 C4 C5 D1 D3 D6 
223	7	B1 B4 C4 C5 D1 D3 D6 
224	7	B4 B5 C4 C5 D1 D3 D6 
225	7	B4 B6 C4 C5 D1 D3 D6 
226	7	B4 C1 C4 C5 D1 D3 D6 
227	7	A2 B1 B2 B4 B5 C3 D6 
228	7	A2 A3 B1 B2 B4 D5 D6 
229	7	A2 A5 B1 B2 B4 D5 D6 
230	7	A2 B1 B2 B4 B6 D5 D6 
231	7	A2 B1 B2 B4 C1 D5 D6 
232	7	A2 B1 B2 B4 C3 D5 D6 
233	7	A2 B1 B2 B4 C6 D5 D6 
234	7	A2 B1 B2 B4 D3 D5 D6 
235	7	A1 A3 B1 B4 D1 D5 D6 
236	7	A1 A5 B1 B4 D1 D5 D6 
237	7	A1 B1 B4 B6 D1 D5 D6 
238	7	A1 B1 B4 C1 D1 D5 D6 
239	7	A1 B1 B4 C3 D1 D5 D6 
240	7	A1 B1 B4 C6 D1 D5 D6 
241	7	A1 B1 B4 D1 D3 D5 D6 
242	7	A1 B1 B4 D1 D4 D5 D6 
243	7	A3 B1 B2 B4 D1 D5 D6 
244	7	A5 B1 B2 B4 D1 D5 D6 
245	7	B1 B2 B4 B6 D1 D5 D6 
246	7	B1 B2 B4 C1 D1 D5 D6 
247	7	B1 B2 B4 C3 D1 D5 D6 
248	7	B1 B2 B4 C6 D1 D5 D6 
249	7	B1 B2 B4 D1 D3 D5 D6 
250	7	B1 B2 B4 D1 D4 D5 D6 
251	7	A5 A6 B4 C5 D1 D5 D6 
252	7	A6 B4 C3 C5 D1 D5 D6 
253	7	A6 B4 C5 C6 D1 D5 D6 
254	7	A6 B4 C5 D1 D3 D5 D6 
255	7	A3 B1 B4 C5 D1 D5 D6 
256	7	A5 B1 B4 C5 D1 D5 D6 
257	7	B1 B4 B6 C5 D1 D5 D6 
258	7	B1 B4 C3 C5 D1 D5 D6 
259	7	B1 B4 C5 C6 D1 D5 D6 
260	7	B1 B4 C5 D1 D3 D5 D6 
261	7	B1 B4 C5 D1 D4 D5 D6 
262	7	A2 A6 B2 B4 B5 D3 D6 
263	7	A3 A6 B2 B4 B5 D1 D6 
264	7	A5 A6 B2 B4 B5 D1 D6 
265	7	A6 B2 B4 B5 C3 D1 D6 
266	7	A6 B2 B4 B5 D1 D3 D6 
267	7	A3 A6 B2 B4 B5 D1 D5 
268	7	A5 A6 B2 B4 B5 D1 D5 
269	7	A6 B2 B4 B5 C3 D1 D5 
270	7	A6 B2 B4 B5 C6 D1 D5 
271	7	A6 B2 B4 B5 D1 D4 D5 
272	7	A1 B6 C4 C5 D1 D3 D6 
273	7	A2 B6 C4 C5 D1 D3 D6 
274	7	B2 B6 C4 C5 D1 D3 D6 
275	7	B5 B6 C4 C5 D1 D3 D6 
276	7	B6 C3 C4 C5 D1 D3 D6 
277	7	B6 C4 C5 D1 D2 D3 D6 
278	7	B6 C4 C5 D1 D3 D4 D6 
279	7	A1 B6 C1 C5 D1 D3 D6 
280	7	B4 B6 C1 C5 D1 D3 D6 
281	7	B5 B6 C1 C5 D1 D3 D6 
282	7	B6 C1 C3 C5 D1 D3 D6 
283	7	B6 C1 C5 D1 D2 D3 D6 
284	7	B6 C1 C5 D1 D3 D4 D6 
285	7	A1 A3 B6 C1 C5 D3 D6 
