U	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	R
1	2 	1 	1 	2 	2 	1 	2 	2 	1 	1 	1 	1 	2 	1 	4 	3 	2 	1 	1 	2 	2 	2 	2 	2 	1
2	2 	1 	1 	2 	2 	1 	2 	2 	1 	1 	1 	1 	2 	1 	4 	3 	2 	2 	2 	2 	2 	2 	2 	1 	1
3	2 	2 	1 	2 	2 	1 	2 	2 	1 	1 	1 	1 	2 	1 	4 	3 	2 	2 	2 	2 	2 	2 	2 	1 	1
4	2 	2 	2 	2 	2 	1 	2 	2 	1 	1 	2 	1 	2 	1 	4 	2 	2 	3 	2 	2 	2 	2 	2 	3 	3
5	3 	2 	1 	2 	1 	1 	2 	2 	1 	1 	1 	1 	1 	1 	4 	2 	2 	1 	1 	2 	2 	2 	2 	1 	1
6	3 	2 	1 	1 	1 	1 	1 	3 	1 	1 	1 	1 	1 	1 	4 	3 	1 	1 	2 	3 	2 	2 	1 	1 	2
7	2 	2 	1 	2 	1 	1 	2 	3 	1 	1 	1 	1 	1 	1 	4 	3 	1 	1 	1 	2 	2 	2 	2 	1 	2
8	3 	3 	1 	1 	1 	1 	2 	3 	1 	2 	1 	2 	1 	1 	4 	2 	2 	1 	3 	3 	2 	2 	1 	2 	2
9	2 	1 	1 	2 	1 	1 	2 	2 	1 	2 	1 	2 	1 	1 	4 	2 	1 	1 	1 	2 	2 	2 	2 	1 	2
10	3 	3 	1 	1 	1 	1 	2 	2 	1 	2 	1 	3 	1 	2 	4 	2 	1 	1 	3 	3 	2 	2 	1 	1 	3
11	1 	1 	1 	3 	1 	1 	1 	2 	2 	1 	1 	1 	2 	1 	1 	3 	2 	1 	1 	1 	3 	2 	3 	2 	1
12	1 	1 	1 	2 	2 	1 	1 	2 	1 	1 	1 	1 	2 	1 	1 	2 	2 	1 	2 	1 	2 	2 	2 	2 	1
13	1 	1 	3 	1 	3 	1 	2 	3 	1 	1 	1 	1 	1 	1 	2 	3 	2 	2 	1 	1 	1 	1 	1 	2 	3
14	1 	1 	1 	2 	1 	1 	2 	2 	1 	1 	2 	1 	2 	1 	1 	2 	1 	1 	1 	1 	2 	1 	3 	1 	2
15	1 	1 	1 	3 	1 	1 	1 	1 	2 	1 	1 	1 	2 	1 	1 	3 	2 	3 	1 	1 	3 	2 	3 	1 	1
16	1 	1 	1 	2 	2 	1 	1 	2 	1 	1 	1 	1 	2 	1 	1 	2 	2 	1 	1 	1 	2 	2 	2 	1 	1
17	1 	2 	3 	1 	3 	1 	2 	3 	1 	1 	1 	1 	1 	1 	2 	3 	2 	2 	2 	1 	1 	1 	1 	1 	3
18	1 	2 	1 	2 	1 	1 	2 	2 	2 	1 	2 	1 	1 	1 	1 	2 	1 	1 	2 	1 	2 	1 	2 	2 	2
19	1 	2 	1 	3 	1 	1 	1 	1 	2 	1 	1 	1 	2 	1 	1 	3 	2 	3 	2 	1 	3 	2 	1 	1 	1
20	1 	1 	1 	1 	2 	1 	3 	2 	1 	1 	1 	2 	2 	1 	1 	2 	2 	1 	2 	1 	3 	2 	1 	1 	1
21	1 	1 	3 	1 	3 	1 	3 	2 	1 	1 	1 	1 	1 	1 	2 	3 	2 	2 	2 	1 	1 	1 	1 	1 	3
22	1 	1 	1 	2 	1 	1 	2 	2 	1 	1 	2 	1 	1 	1 	1 	2 	1 	1 	2 	1 	3 	1 	3 	1 	2
23	1 	1 	1 	3 	1 	1 	1 	2 	1 	1 	2 	1 	2 	1 	1 	3 	2 	3 	2 	1 	3 	2 	3 	3 	2
24	1 	1 	1 	1 	2 	2 	3 	3 	1 	1 	1 	2 	2 	1 	1 	1 	2 	1 	2 	1 	2 	2 	1 	3 	2
25	1 	1 	3 	1 	3 	1 	3 	2 	1 	1 	1 	1 	1 	1 	2 	3 	2 	2 	1 	1 	1 	1 	2 	2 	3
26	1 	1 	1 	2 	1 	1 	2 	2 	1 	1 	2 	1 	1 	1 	1 	2 	1 	1 	1 	1 	2 	1 	2 	3 	3
27	1 	2 	1 	3 	1 	1 	1 	1 	2 	1 	1 	1 	2 	1 	1 	3 	1 	2 	1 	1 	3 	2 	2 	2 	1
28	1 	2 	1 	1 	2 	2 	2 	2 	1 	1 	1 	2 	2 	1 	1 	1 	2 	1 	1 	1 	2 	2 	1 	2 	2
29	1 	2 	2 	1 	3 	1 	3 	2 	1 	1 	1 	1 	1 	1 	2 	3 	2 	2 	1 	1 	1 	1 	1 	1 	2
30	1 	2 	1 	2 	1 	1 	1 	2 	1 	1 	2 	1 	1 	1 	1 	2 	2 	1 	2 	1 	3 	1 	2 	1 	2
31	1 	2 	1 	2 	1 	1 	1 	3 	1 	2 	1 	1 	1 	1 	1 	3 	1 	2 	2 	1 	3 	2 	1 	1 	2
